ID;Nº DE INGRESOS;DELITO GENERICO;DELITO ESPECÍFICO;SITUACION JURIDICA;EDAD;SEXO;PAIS;ESTADO CIVIL;GRADO DE INSTRUCCIÓN;OCUPACION GENERICO;OCUPACION ESPECIFICO;NOMBRE DEL PENAL;DEPARTAMENTO;OFICINA REGIONAL;MES;CONTINENTE
36617;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS - FORMAS AGRAVADAS;SENTENCIADO;36;MASCULINO;PERÚ;SOLTERO;SECUNDARIA COMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36618;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS - FORMAS AGRAVADAS;SENTENCIADO;39;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36619;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;28;MASCULINO;PERÚ;SOLTERO;SUPERIOR NO UNIV. INCOMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36620;2;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL;SENTENCIADO;37;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36621;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS - FORMAS AGRAVADAS;SENTENCIADO;46;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36622;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;30;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36623;1;DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD;HOMICIDIO CALIFICADO - ASESINATO;SENTENCIADO;36;FEMENINO;PERÚ;CONVIVIENTE;PRIMARIA COMP.;OFICIOS;OTROS OFICIOS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36624;1;DELITOS CONTRA LA LIBERTAD;ACTOS CONTRA EL PUDOR EN MENORES DE 14 AÑOS;SENTENCIADO;35;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36625;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;PROMOCIÓN O FAVORECIMIENTO AL TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;47;MASCULINO;COLOMBIA;CASADO;SUPERIOR UNIV. INCOMP.;OFICIOS;COMERCIANTES;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
36626;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE MENOR DE EDAD;SENTENCIADO;39;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE RÍO NEGRO;Junin;Centro - Huancayo;JUNIO;América
